RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,,,,Error rate
0.0017556,Experiment4Metamer_ResponseGroup1.m,2,2,1,6,20,q,1,,,,
0.087597,Experiment4Metamer_ResponseGroup1.m,2,17,1,12,20,q,1,,,,
0.23238,Experiment4Metamer_ResponseGroup1.m,2,13,2,12,20,q,1,,,,
0.003896,Experiment4Metamer_ResponseGroup1.m,2,16,1,11,20,q,1,,,,
0.025301,Experiment4Metamer_ResponseGroup1.m,1,10,2,6,19,p,1,,,,
0.13141,Experiment4Metamer_ResponseGroup1.m,1,1,2,6,19,p,1,,,,
0.023493,Experiment4Metamer_ResponseGroup1.m,2,15,2,1,20,q,1,,,,
0.09637,Experiment4Metamer_ResponseGroup1.m,2,8,2,9,20,q,1,,,,
0.070147,Experiment4Metamer_ResponseGroup1.m,2,10,2,6,20,q,1,,,,
0.13403,Experiment4Metamer_ResponseGroup1.m,2,19,1,1,20,q,1,,,,
0.0087285,Experiment4Metamer_ResponseGroup1.m,2,20,2,13,20,q,1,,,,
0.11107,Experiment4Metamer_ResponseGroup1.m,1,4,2,2,19,p,1,,,,
0.0049769,Experiment4Metamer_ResponseGroup1.m,2,13,1,19,20,q,1,,,,
0.10759,Experiment4Metamer_ResponseGroup1.m,2,2,1,8,20,q,1,,,,
0.29513,Experiment4Metamer_ResponseGroup1.m,2,12,2,11,20,q,1,,,,
0.22622,Experiment4Metamer_ResponseGroup1.m,2,20,1,12,20,q,1,,,,
0.0019625,Experiment4Metamer_ResponseGroup1.m,1,3,1,12,19,p,1,,,,
0.002034,Experiment4Metamer_ResponseGroup1.m,2,18,1,7,20,q,1,,,,
0.12135,Experiment4Metamer_ResponseGroup1.m,2,1,1,2,20,q,1,,,,
0.022388,Experiment4Metamer_ResponseGroup1.m,2,11,1,7,20,q,1,,,,
0.034404,Experiment4Metamer_ResponseGroup1.m,2,13,2,8,20,q,1,,,,
0.047811,Experiment4Metamer_ResponseGroup1.m,2,4,1,1,20,q,1,,,,
0.11909,Experiment4Metamer_ResponseGroup1.m,2,4,2,3,20,q,1,,,,
0.016482,Experiment4Metamer_ResponseGroup1.m,2,6,1,2,20,q,1,,,,
0.0018695,Experiment4Metamer_ResponseGroup1.m,2,14,1,5,20,q,1,,,,
0.0018222,Experiment4Metamer_ResponseGroup1.m,2,12,2,3,20,q,1,,,,
0.091195,Experiment4Metamer_ResponseGroup1.m,2,15,2,4,20,q,1,,,,
0.0059359,Experiment4Metamer_ResponseGroup1.m,2,20,1,3,20,q,1,,,,
0.0019624,Experiment4Metamer_ResponseGroup1.m,2,9,1,12,20,q,1,,,,
0.5028,Experiment4Metamer_ResponseGroup1.m,2,16,1,12,20,q,1,,,,
0.027244,Experiment4Metamer_ResponseGroup1.m,1,16,2,18,19,p,1,,,,
0.020988,Experiment4Metamer_ResponseGroup1.m,2,16,2,5,20,q,1,,,,
0.0017628,Experiment4Metamer_ResponseGroup1.m,2,14,2,12,20,q,1,,,,
0.17261,Experiment4Metamer_ResponseGroup1.m,2,20,2,5,20,q,1,,,,
0.38786,Experiment4Metamer_ResponseGroup1.m,2,16,2,13,20,q,1,,,,
0.0019848,Experiment4Metamer_ResponseGroup1.m,2,1,1,9,20,q,1,,,,
0.36373,Experiment4Metamer_ResponseGroup1.m,2,1,1,10,20,q,1,,,,
0.38911,Experiment4Metamer_ResponseGroup1.m,2,14,2,11,19,p,0,,,,
0.32225,Experiment4Metamer_ResponseGroup1.m,2,7,2,5,19,p,0,,,,
0.49517,Experiment4Metamer_ResponseGroup1.m,1,10,1,4,20,q,0,,,,
0.73081,Experiment4Metamer_ResponseGroup1.m,1,2,1,4,20,q,0,,,,
0.0017654,Experiment4Metamer_ResponseGroup1.m,2,12,1,19,19,p,0,,,,
